alpha,u,class
135.6891066,23.87882,GALAXY
144.8261006,24.77759,GALAXY
142.1887896,25.26307,GALAXY
338.7410378,22.13682,GALAXY
345.2825932,19.43718,GALAXY
340.9951205,23.48827,QSO
23.23492643,21.46973,QSO
5.433176037,22.24979,GALAXY
200.2904754,24.40286,GALAXY
39.1496906,21.74669,STAR
328.0920762,25.77163,GALAXY
243.9866375,23.76761,GALAXY
345.8018744,23.17274,STAR
331.50203,20.8294,GALAXY
344.9847703,23.20911,GALAXY
244.8245231,24.8868,GALAXY
353.2015224,24.5489,STAR
1.494388639,20.38562,QSO
14.38313522,21.82154,STAR
167.1316688,20.48292,GALAXY
171.9754246,22.13367,GALAXY
144.7852927,24.54793,STAR
145.2730374,25.44243,GALAXY
145.8830055,21.73992,QSO
241.4262672,18.88323,GALAXY
132.922468,21.2611,GALAXY
143.2880176,25.98497,GALAXY
140.6000381,25.46577,GALAXY
333.3115106,20.53324,GALAXY
337.0934355,20.15491,GALAXY
252.7585486,24.36048,GALAXY
240.2139089,23.08039,GALAXY
255.5748935,23.73066,GALAXY
20.05255573,21.89214,QSO
144.721737,22.88916,GALAXY
44.92336027,23.8628,GALAXY
136.2630712,24.06677,GALAXY
140.5129827,20.71552,GALAXY
136.4183782,20.66654,STAR
121.6100097,22.42006,GALAXY
181.6453305,21.20149,STAR
146.9257842,25.52618,GALAXY
179.698615,23.27982,GALAXY
332.0871561,27.0971,GALAXY
188.0680012,22.26849,GALAXY
344.7698884,22.33744,STAR
40.79574267,22.79262,GALAXY
228.4477283,22.36261,QSO
345.221147,21.90143,QSO
129.6280955,24.91692,GALAXY
129.1990205,23.01294,GALAXY
168.7266013,21.65936,QSO
341.3918991,22.92673,GALAXY
355.1751317,22.7706,GALAXY
5.016618104,22.29616,GALAXY
117.8254525,21.78552,GALAXY
7.295167962,22.72659,GALAXY
242.0735629,20.75533,GALAXY
238.4858024,25.519,GALAXY
246.4388755,24.82672,GALAXY
230.2132666,22.83827,GALAXY
252.6546525,25.19646,GALAXY
240.664803,19.1855,GALAXY
192.3450646,22.14838,GALAXY
241.4373201,25.1444,GALAXY
254.3532997,20.64171,GALAXY
229.6086882,19.6081,GALAXY
252.4109335,22.08841,GALAXY
236.8022966,25.9803,GALAXY
338.6601797,22.74328,GALAXY
332.7613218,22.11101,GALAXY
178.5046159,21.77434,QSO
144.742439,20.87676,QSO
124.2315837,18.75124,GALAXY
11.0594434,20.53318,QSO
12.22289416,22.864,STAR
338.518632,24.3689,GALAXY
357.1515193,23.96082,GALAXY
64.87562501,23.78648,STAR
121.1812474,24.59952,GALAXY
343.4616775,22.70525,QSO
136.5016923,25.72517,GALAXY
184.914328,25.10932,STAR
187.9734249,23.33354,QSO
131.9277691,23.13947,GALAXY
206.4610082,20.16308,QSO
197.5291513,21.25551,GALAXY
132.8301979,20.49408,QSO
153.4476487,22.21266,GALAXY
271.620557,22.25522,STAR
160.0565729,20.64593,GALAXY
125.5937528,24.80904,STAR
191.9743154,26.30048,GALAXY
173.3195491,24.42061,GALAXY
2.170252439,23.59629,GALAXY
348.3358147,23.93912,GALAXY
42.04851482,21.8015,STAR
169.4172365,25.08139,STAR
243.4989084,21.23949,QSO
44.37408879,25.76758,GALAXY
20.78260526,22.40024,GALAXY
150.8800311,22.33767,GALAXY
132.8208583,23.83978,GALAXY
140.5503268,21.66945,GALAXY
145.198313,25.01055,GALAXY
141.9489511,22.83775,GALAXY
140.6792636,21.29609,GALAXY
11.17152657,20.22819,QSO
19.03452108,21.27749,QSO
239.3319454,17.95408,GALAXY
8.348878998,24.67206,GALAXY
22.74684115,24.91774,GALAXY
204.0055161,21.48696,GALAXY
9.913195377,23.19134,GALAXY
333.1101136,23.68024,GALAXY
185.3537258,20.71064,QSO
161.751689,24.64835,QSO
253.5217439,21.94553,GALAXY
341.9767943,21.26236,QSO
182.9413692,22.25055,STAR
332.4965618,25.10085,GALAXY
343.7625683,22.65379,QSO
27.9236364,24.70554,GALAXY
267.6272771,21.8857,STAR
129.669106,22.75972,GALAXY
335.5467392,24.52573,GALAXY
335.5081821,22.79176,GALAXY
159.7712179,18.18608,QSO
161.1843151,19.2641,STAR
1.731275974,23.03303,GALAXY
339.6094457,21.71327,GALAXY
333.3540846,20.32781,GALAXY
