Curricular units 2nd sem (grade),Curricular units 2nd sem (approved),Tuition fees up to date,Curricular units 1st sem (grade),Curricular units 1st sem (approved),Scholarship holder,Debtor,Curricular units 2nd sem (evaluations),Target
0.0,0,1,0.0,0,0,0,0,0
13.666666666666666,6,0,14.0,6,0,0,6,1
0.0,0,0,0.0,0,0,0,0,0
12.4,5,1,13.428571428571429,6,0,0,10,1
13.0,6,1,12.333333333333334,5,0,0,6,1
11.5,5,1,11.857142857142858,5,0,1,17,1
14.345,8,1,13.3,7,1,0,8,1
0.0,0,0,0.0,0,0,0,5,0
14.142857142857142,6,1,13.875,6,1,0,7,1
13.5,2,0,11.4,5,0,1,14,0
14.2,5,1,12.333333333333334,6,0,0,7,1
13.214285714285714,7,1,13.214285714285714,7,1,0,8,1
0.0,0,1,0.0,0,0,0,0,0
11.0,5,1,10.571428571428571,6,1,0,8,1
12.0,5,1,13.25,4,1,0,5,1
0.0,0,1,13.2,5,0,0,7,0
14.545,8,1,13.30625,7,0,0,8,1
12.25,4,1,12.5,4,0,0,8,1
0.0,0,1,0.0,0,1,0,0,1
12.857142857142858,7,1,12.857142857142858,7,0,0,12,1
12.285714285714286,6,1,13.375,6,1,0,7,1
14.114285714285714,7,1,13.296666666666669,6,0,0,9,1
13.285714285714286,6,1,11.375,6,0,0,9,1
12.333333333333334,5,1,12.0,5,0,0,6,1
13.4,4,1,12.833333333333334,6,0,0,9,1
14.375,6,1,12.666666666666666,6,0,0,8,1
13.428571428571429,5,1,12.4,5,0,0,9,1
10.0,1,0,0.0,0,0,1,7,0
0.0,0,1,0.0,0,0,0,0,0
12.0,2,1,10.0,1,0,0,8,0
11.6,5,1,11.0,5,0,0,5,1
12.0,3,0,11.666666666666666,3,0,1,11,0
0.0,0,1,12.75,4,0,1,5,0
15.8,5,1,14.8,5,0,0,5,1
14.342857142857142,7,1,13.928,5,0,0,9,1
13.8,5,0,13.0,4,0,0,7,0
0.0,0,1,0.0,0,0,0,0,0
13.2,5,1,11.666666666666666,6,0,0,8,1
13.771428571428572,7,1,13.516666666666666,6,1,0,9,1
13.285714285714286,6,1,11.5,6,1,0,7,1
12.833333333333334,6,1,12.333333333333334,5,1,0,7,1
14.166666666666666,6,1,13.666666666666666,6,1,0,6,1
15.8,5,1,14.714285714285714,5,0,0,5,1
11.0,5,1,10.6,5,0,0,10,0
13.595,8,1,13.044444444444444,7,0,0,10,1
0.0,0,1,0.0,0,0,0,6,0
12.9,10,1,13.0,5,0,0,13,0
14.935,8,1,14.935,8,0,0,8,1
12.221428571428572,7,1,13.133333333333333,6,0,0,12,1
12.0,6,1,12.0,6,1,0,7,1
11.0,5,1,11.9,5,0,0,10,0
0.0,0,1,0.0,0,1,0,0,1
12.428571428571429,6,1,12.571428571428571,6,0,0,7,1
10.75,4,1,11.2,5,0,1,10,0
13.75,8,1,11.975,7,0,0,8,1
0.0,0,1,0.0,0,0,0,0,0
12.0,1,1,11.666666666666666,3,0,0,12,0
12.333333333333334,3,1,12.333333333333334,6,0,0,11,1
10.857142857142858,3,1,10.333333333333334,3,0,1,11,0
11.0,1,1,10.5,4,1,0,11,0
13.333333333333334,6,1,13.666666666666666,6,1,1,6,1
15.055555555555555,8,1,14.842857142857142,7,1,0,9,1
11.666666666666666,6,1,12.0,6,0,0,6,1
12.2,5,1,12.2,5,0,0,7,0
0.0,0,1,0.0,0,0,0,0,0
13.3,10,1,12.166666666666666,6,0,1,14,0
11.0,5,1,11.0,6,0,0,11,1
13.08,7,1,13.08,7,1,0,8,1
11.6,5,1,10.5,4,1,0,7,1
11.2,5,1,10.666666666666666,6,0,0,6,1
0.0,0,1,0.0,0,0,0,7,0
13.5,6,0,14.0,6,0,0,6,1
0.0,0,1,12.0,2,0,0,6,0
0.0,0,1,12.666666666666666,3,0,0,14,0
12.333333333333334,6,1,11.875,8,0,0,7,1
13.333333333333334,6,1,13.666666666666666,6,0,0,6,1
14.47777777777778,8,1,13.75,7,1,0,9,1
0.0,0,0,11.96,4,0,1,7,0
13.4,5,1,12.875,8,0,0,14,0
0.0,0,1,0.0,0,0,0,0,1
0.0,0,1,0.0,0,0,0,0,0
14.23076923076923,13,1,14.63157894736842,18,0,0,14,1
0.0,0,1,0.0,0,0,0,0,0
12.272727272727272,11,1,13.0,10,0,1,11,1
0.0,0,1,0.0,0,0,0,0,0
13.25,4,1,14.2,4,0,0,17,0
12.3,5,1,13.266666666666666,6,0,0,10,0
15.0,6,1,13.857142857142858,6,0,0,6,1
12.8,5,1,13.4,5,0,0,5,1
12.571428571428571,6,1,12.666666666666666,6,0,0,7,1
12.516666666666666,6,1,12.516666666666666,6,0,0,7,0
11.4,5,1,13.142857142857142,5,0,0,6,1
14.0,5,1,12.6,5,0,0,5,1
11.0,2,1,11.0,3,0,0,12,0
11.25,4,1,10.8,5,0,0,9,1
0.0,0,1,0.0,0,0,0,0,0
14.2,5,1,12.8,5,1,0,5,1
12.2,6,1,14.166666666666666,6,0,0,13,1
0.0,0,1,12.1,5,0,0,0,0
13.77777777777778,5,1,14.166666666666666,6,0,0,17,1
13.666666666666666,6,1,13.0,6,0,0,6,1
15.011111111111113,8,1,13.467142857142855,7,0,0,9,1
13.742857142857144,7,1,13.2375,7,1,0,9,0
13.0,6,1,12.333333333333334,6,0,0,6,1
14.6,5,1,12.4,5,0,0,5,1
0.0,0,1,14.0,5,0,0,7,0
11.714285714285714,7,1,11.666666666666666,9,0,0,8,1
12.5,4,0,12.0,5,1,1,9,0
11.5,4,1,12.2,4,0,0,5,1
14.833333333333334,6,1,14.833333333333334,6,1,1,6,1
17.5875,8,1,17.125,7,0,0,8,1
12.666666666666666,6,1,12.666666666666666,6,0,0,7,1
12.0,5,1,12.666666666666666,6,1,0,10,1
11.5,6,1,11.333333333333334,6,1,0,6,1
12.33125,8,1,13.605,7,1,0,11,1
10.8,5,1,12.0,5,1,0,9,1
0.0,0,1,0.0,0,0,0,10,0
11.666666666666666,3,1,11.2,5,0,0,12,0
14.166666666666666,5,1,13.375,5,0,0,9,1
14.178571428571429,7,1,13.863333333333337,6,1,0,9,1
13.4,5,1,12.4,5,0,0,6,1
11.8,5,1,13.333333333333334,6,0,0,8,1
10.0,3,1,12.666666666666666,3,0,0,12,0
11.5,4,1,12.0,6,0,0,10,0
11.8,5,1,10.6,5,1,0,5,1
11.857142857142858,6,1,12.25,6,1,0,7,1
11.833333333333334,6,1,11.0,4,0,0,9,1
12.6,5,1,11.0,5,1,0,9,1
13.0,6,1,13.166666666666666,6,0,0,9,0
12.761111111111113,7,1,12.855555555555554,7,1,0,12,1
15.355,8,1,14.91875,7,0,0,8,1
11.0,3,1,11.5,4,0,0,10,0
14.2,5,1,14.2,5,0,0,5,1
13.0,6,1,12.5,6,1,0,7,1
11.0,4,1,11.666666666666666,5,0,0,12,1
14.257142857142856,7,1,14.257142857142856,7,0,0,8,1
11.333333333333334,2,1,12.0,3,0,0,12,0
13.5625,8,1,12.457142857142856,7,0,0,8,1
11.683333333333332,6,1,11.683333333333332,6,0,0,7,1
12.0,5,1,11.666666666666666,3,0,0,8,1
13.166666666666666,6,0,11.75,4,0,1,6,0
12.0,5,1,13.2,5,0,0,10,1
11.95,4,1,11.95,4,0,0,8,0
10.4,5,1,12.4,5,0,0,12,0
14.583333333333334,6,1,14.35,6,0,0,10,0
12.789473684210526,19,1,12.61904761904762,21,0,0,19,1
0.0,0,0,12.0,5,0,1,6,0
0.0,0,0,12.166666666666666,6,0,0,6,0
0.0,0,1,0.0,0,0,0,0,0
10.571428571428571,3,0,10.0,3,0,1,9,0
13.05,6,1,13.05,6,1,0,7,1
0.0,0,1,11.0,2,0,0,6,0
12.0,6,1,11.5,6,0,0,6,1
12.5,6,1,12.0,6,1,0,6,1
0.0,0,1,0.0,0,0,0,5,0
0.0,0,1,0.0,0,0,0,0,0
12.242857142857144,7,1,12.242857142857144,7,0,0,8,1
0.0,0,1,0.0,0,0,0,0,0
12.93375,8,1,12.93375,8,0,0,8,1
0.0,0,1,0.0,0,0,0,0,0
14.428571428571429,7,1,12.571428571428571,7,0,0,8,1
14.333333333333334,4,1,13.75,4,0,0,13,1
11.333333333333334,6,1,11.166666666666666,6,0,0,6,1
12.324285714285711,7,1,12.324285714285711,7,0,0,8,1
11.714285714285714,6,1,12.166666666666666,6,0,1,7,1
11.25,4,1,11.142857142857142,5,1,0,11,1
10.75,4,1,11.0,4,0,0,9,1
12.914285714285713,7,1,12.914285714285713,7,0,0,8,1
14.166666666666666,6,1,13.833333333333334,6,1,0,6,1
13.4,5,1,13.857142857142858,6,0,0,9,1
12.8,5,1,13.714285714285714,6,1,0,6,0
12.642857142857142,7,1,12.642857142857142,7,1,0,8,1
12.916666666666666,6,1,12.916666666666666,6,1,0,7,1
15.857142857142858,6,1,15.625,6,1,0,8,1
0.0,0,1,0.0,0,1,0,8,0
12.0,6,1,11.714285714285714,6,0,0,7,1
11.6,5,1,11.6,5,1,0,5,1
0.0,0,1,10.0,1,0,0,6,0
0.0,0,1,10.0,1,1,0,13,0
13.5,2,1,0.0,0,0,0,9,0
12.333333333333334,3,1,13.0,4,1,0,8,1
14.5,6,1,13.333333333333334,6,1,0,6,1
12.5,2,1,11.25,4,0,0,13,0
12.19285714285714,7,1,13.85,5,1,0,9,1
14.9125,7,1,13.741666666666667,6,1,0,9,1
15.8,5,1,15.333333333333334,6,0,0,5,1
13.8,5,1,11.0,5,0,0,5,1
12.857142857142858,6,1,12.0,6,1,0,7,1
0.0,0,1,0.0,0,0,0,5,0
11.571428571428571,7,1,11.571428571428571,7,1,0,15,1
12.666666666666666,3,1,12.857142857142858,6,0,0,6,1
0.0,0,1,0.0,0,0,0,0,0
13.2,5,1,13.0,5,0,0,5,1
12.0,5,1,11.0,5,1,0,8,1
15.0,1,1,12.0,3,0,0,12,0
13.0,6,1,12.6,5,1,0,6,1
13.166666666666666,6,1,13.4,5,1,0,7,1
11.571428571428571,6,1,11.333333333333334,6,1,0,9,1
14.25,4,0,13.5,4,0,0,10,0
10.333333333333334,3,0,11.75,3,0,1,14,0
13.6,5,1,11.6,5,1,0,5,1
0.0,0,0,0.0,0,0,0,9,0
12.363636363636363,10,1,12.9,9,1,0,12,1
13.22,8,1,13.22,8,0,0,8,1
13.151428571428571,7,1,13.151428571428571,7,1,0,8,1
11.333333333333334,3,0,12.75,3,0,1,8,0
12.25,4,1,11.333333333333334,6,0,0,8,1
14.142857142857142,5,1,13.25,6,1,0,13,1
12.833333333333334,6,1,15.0,6,1,0,6,0
13.0,5,1,14.4,5,0,0,6,1
10.8,5,1,12.4,5,0,0,6,1
0.0,0,0,16.0,1,1,1,12,0
12.333333333333334,5,1,13.571428571428571,5,0,0,14,1
12.666666666666666,5,1,11.666666666666666,5,1,0,9,1
13.0,2,0,11.833333333333334,6,0,1,8,0
